M,P,Command,Iteration,Time
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,5,7.11
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,6,7.11
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,7,5.65
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,8,4.50
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,9,4.45
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,10,5.30
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,11,7.31
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,12,5.95
3,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,13,4.55
4,10000000,./main_executable_from_mlir,0,1.04
4,10000000,./main_executable_from_mlir,1,1.04
4,10000000,./main_executable_from_mlir,2,1.04
4,10000000,./main_executable_from_mlir,3,1.04
4,10000000,./main_executable_from_mlir,4,1.04
4,10000000,./main_executable_from_mlir,5,1.04
4,10000000,./main_executable_from_mlir,6,1.04
4,10000000,./main_executable_from_mlir,7,1.04
4,10000000,./main_executable_from_mlir,8,1.04
4,10000000,./main_executable_from_mlir,9,1.04
4,10000000,./main_executable_from_mlir,10,1.04
4,10000000,./main_executable_from_mlir,11,1.04
4,10000000,./main_executable_from_mlir,12,1.04
4,10000000,./main_executable_from_mlir,13,1.04
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,0,5.50
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,1,5.55
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,2,5.35
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,3,5.70
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,4,5.45
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,5,6.50
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,6,9.01
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,7,8.86
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,8,9.11
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,9,9.06
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,10,5.95
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,11,5.35
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,12,5.55
4,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,13,6.91
5,10000000,./main_executable_from_mlir,0,2.07
5,10000000,./main_executable_from_mlir,1,2.06
5,10000000,./main_executable_from_mlir,2,2.06
